paper_id,journal_name,extraction_status,article_type,publication_status,volume_text,volume_number,volume_year,section,title,publication_date,year,doi,url,abstract,authors_raw,n_authors,citations,citation_source,downloads,metric_used_as_downloads,keywords,topic_label,topic_source,topic_evidence,topic_score,topic_confidence,manual_topic_label,manual_topic_source,manual_topic_evidence,manual_topic_status,n_references
1,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Drug Discovery in Bioinformatics,Network-based insights into miR-30a-5p-mediated regulation and EGCG targeting in triple-negative breast cancer,2025-12-19,2025,10.3389/fbinf.2025.1735106,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1735106/full,"Background: Triple-negative breast cancer (TNBC) is defined by the absence of ER, PR, and HER2 expression. This limits the targeted therapies, resulting in poor clinical outcomes. Identifying the molecular targets that can be regulated through miRNAs and natural compounds offers a potential therapeutic platform. Methods: We combined transcriptomic profiling with miRNA target prediction to identify genes regulated by miR-30a-5p and assess their interaction with the green tea polyphenol, epigallocatechin gallate (EGCG). Differentially expressed genes (DEGs) from TCGA-TNBC datasets and miRNA targets from miRDB, TargetScan, and miRTarBase were screened for common genes. Then, the protein-protein interaction and network topology analyses were performed to identify key hub genes. Molecular docking and simulation were carried out with the four key genes against EGCG. Results: Data integration yielded 393 overlapping genes and identified ten hub genes- [RRM2], [KIF11], [ANLN], [CDC20], [CCNA1], [AGO2], [YWHAZ], [DTL], [SKP2], and [PCNA]. Pathway enrichment showed that all these hubs are involved in cell cycle and mitotic regulation, which was associated with poor TNBC prognosis. Mutation profiling revealed high alteration rates in [KIF11], [ANLN, CDC20], and [YWHAZ], with increased missense mutations and C>T transitions. Molecular docking and simulations identified [YWHAZ] as the most favorable and structurally stable EGCG-binding target, compared to the other three key genes. Conclusion: The results emphasizes that EGCG has strong binding affinity towards YWHAZ, revealing that miR-30a-EGCG targets TNBC synergistically through cell-cycle-mediated pathways. The findings give rational support for miRNA-guided phytochemical-based TNBC therapeutic development. Graphical Abstract The overlapping genes between miR-30a-5p and TNBC were identified using network pharmacology. Docking and simulation showed that the YWHAZ-EGCG complex showed the highest stability and compactness, suggesting a synergistic therapeutic mechanism.","Dharshini, Loganathan Chandramani Priya; Mandal, Abul Kalam Azad",2,0,Crossref,1436,views_from_filtered_article_listing_2025,molecular docking; molecular dynamics simulation; network pharmacology; TNBC; EGCG; cell cycle regulation; hsa-miR-30a-5p,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,63
2,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Genomic Analysis,Identification and functional analysis of hub genes in knee osteoarthritis via bioinformatics and experimental validation,2025-12-17,2025,10.3389/fbinf.2025.1671693,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1671693/full,"Objective: Knee osteoarthritis (KOA) is a prevalent chronic degenerative joint disease that causes chronic pain and mobility restrictions in the elderly, significantly impacting quality of life. Current treatments focus on symptom relief, lacking effective interventions targeting the underlying mechanisms. Understanding KOA’s molecular mechanisms and identifying key pathogenic genes are essential for developing targeted therapies. Methods: Gene expression data from KOA patients and healthy controls were obtained from the Gene Expression Omnibus (GEO) database, and differentially expressed genes (DEGs) were identified. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses were performed to reveal the associated biological processes and signaling pathways. Protein-protein interaction (PPI) network analysis and Gene Ontology-based semantic similarity calculations were used to identify hub genes. Gene Set Variation Analysis (GSVA) assessed enrichment in KOA-related pathways. Immune infiltration analysis (CIBERSORT) assessed the immune cell distribution in KOA tissues. Finally, hub gene expression changes were validated using the IL-1β-treated CHON-001 cell model and real-time quantitative PCR (RT-qPCR). Results: A total of 3,290 upregulated and 2,536 downregulated DEGs were identified. GO and KEGG enrichment analyses revealed these genes were primarily involved in extracellular matrix remodeling, transmembrane transport, and inflammation-related pathways. Key hub genes, including HSPA5, FOXO1, and YWHAE, were identified. GSVA showed that these genes were significantly enriched in multiple KOA-associated signaling pathways. Immune infiltration analysis revealed significant differences in the levels of six immune cell types in KOA tissues, which were associated with the hub genes expression. In CHON-001 cell, the expression levels of GRB2, IKBKG, and HSPA12A were upregulated, whereas YWHAE, HSPB1, and DCAF8 were downregulated, consistent with the tissue samples. Conclusion: This study identified key pathogenic genes and their regulatory pathways in KOA, highlighting their potential role in disease progression via inflammation and immune modulation. These findings provide insights for developing targeted therapeutic strategies for KOA.","Jiang, Shanyong; Cao, Jingjing; Lu, Jianshu; Liang, Jianxiao; Li, Lianxin; Song, Yanqiang; Gao, Jincheng; Jiang, Baoen",8,0,Crossref,1776,views_from_filtered_article_listing_2025,bioinformatics; knee osteoarthritis; differentially expressed genes; GSVA; immuneinfiltration,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,29
3,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Genomic Analysis,"Pan-cancer analyses identify oncogenic drivers, expression signatures, and therapeutic vulnerabilities in RHO GTPase pathway genes",2025-12-17,2025,10.3389/fbinf.2025.1708800,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1708800/full,"RHO family GTPases are key regulators of cancer-related processes such as cytoskeletal dynamics and cell migration, proliferation, and survival. Despite this, a comprehensive understanding of RHO signaling alterations across tumors is still lacking. In this study, we present a pan-cancer analysis of 484 genes encoding RHO GTPases, regulators, proximal effectors, distal downstream signaling elements, and components of their proximal interactomes using data from over 10,000 tumor samples and 33 tumor types present in The Cancer Genome Atlas (TCGA). In addition, we have utilized available data from genome-wide functional dependency screens performed in more than 1,000 gene-edited cancer cell lines. This study has uncovered positively selected mutations in both well-known and previously uncharacterized RHO pathway genes. Transcriptomic profiling reveals widespread and tumor-specific differential expression patterns, with some of them correlating with copy number changes. Interestingly, certain regulators exhibit consistent expression profiles across tumors opposite to those predicted from their canonical roles. Co-expression and gene set enrichment analyses highlight coordinated transcriptional programs involving some RHO GTPase pathway genes and their linkage to key cancer hallmarks, including extracellular matrix reorganization, cell motility, cell cycle progression, cell survival, and immune modulation. Functional screens further identify context-specific dependencies on several deregulated RHO GTPase pathway genes. Altogether, this study provides a comprehensive map of RHO GTPase pathway alterations in cancer and identifies new oncogenic drivers, expression-based signatures, and therapeutic vulnerabilities that could guide future mechanistic and translational research in this area.","Fernández, Rubén; Lorenzo-Martín, L. Francisco; Quesada, Víctor; Bustelo, Xosé R.",4,1,Crossref,1969,views_from_filtered_article_listing_2025,signal transduction; oncogenes; cancer genomics; somatic mutations; functional genomics; RHO GTPases; tumor suppressors; CRISPR screens,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,74
4,Frontiers in Bioinformatics,ok,REVIEW article,published,5 - 2025,5,2025,Protein Bioinformatics,Bioengineering hybrid artificial life,2025-12-16,2025,10.3389/fbinf.2025.1676359,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1676359/full,"The goal of bioengineering in synthetic biology is to redesign, reprogram, and rewire biological systems for specific applications using standardized parts such as promoters and ribosomes. For example, bioengineered micro-organisms capable of cleaning up environmental pollution or producing antibodies [de novo] to defend against viral pandemics have been predicted. Artificial Life (ALife) facilitates the design and understanding of living systems, not just those found in nature, but [life as it could be], while synthetic biology provides the means to realize [life as it can be engineered.] Despite significant advances, the synthesis of evolving, adaptable, and bioengineered problem-solving ALife has yet to achieve practical feasibility. This is primarily due to limitations in directed evolution, fitness landscape mapping, and fitness approximation. Thus, currently synthetic (biological) ALife does not continue to evolve and adapt to changing tasks and environments. This is in stark contrast to current digital based ALife that continues to adapt and evolve in simulated environments demonstrating the dictum of [life as it could be]. We posit that if the bioengineering (on-demand design) of problem solving ALife is to ever become a reality then open issues pervading the directed evolution of synthetic ALife must first be addressed. This review examines open challenges in directed evolution, genetic diversity generation, fitness mapping, and fitness estimation, and outlines future directions toward a hybrid synthetic ALife design methodology. This review provides a novel perspective for a singular (hybridized) evolutionary design methodology, combining digital [(in silico)] and synthetic [(in vitro)] evolutionary design methods drawn from various bioengineering, digital and robotic ALife applications, while addressing highlighted directed evolution deficiencies.","Sibanda, Innocent; Nitschke, Geoff",2,0,Crossref,2535,views_from_filtered_article_listing_2025,directed evolution; Artificial life; sythetic biology; fitness landscape; evolutionary algorithms,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,256
5,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Drug Discovery in Bioinformatics,In silico identification of novel natural compounds as potential KIFC1 inhibitors for the therapeutic intervention of triple-negative breast cancer,2025-12-16,2025,10.3389/fbinf.2025.1689172,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1689172/full,"TNBC is an aggressive and various subtype of breast cancer, notable by the lack of specific oestrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (HER2), consequential in limited treatment options and poor prognosis. Kinesin Family Member C1 (KIFC1), a mitotic motor protein critical for centrosome clustering and spindle formation, has critical role in TNBC progress. In this situation, natural compounds were explored as probable inhibitors of this protein. we utilized molecular docking, ADMET profiling, density functional theory calculations, molecular dynamics simulations, MM/GBSA binding free energy analysis, and principal component analysis to thoroughly evaluate binding affinity, stability, and drug-likeness property of natural compounds against KIFC1. Of the 36,900 compounds utilized, five natural compounds were carefully chosen for further assessment. All five compounds Fosfocytocin, Molybdopterin Compound Z, 5-amino-2-(3-hydroxy-13-methyltetradecanamido) pentanoic acid, TMC-52A, and Muscimol exhibited significant inhibitory efficacy against KIFC1. These compounds demonstrated persistent interactions with critical residues and had advantageous binding properties in computational evaluations. The results collectively indicate their potential as effective inhibitors for targeting KIFC1 in forthcoming studies. These data collectively identify all five natural compounds as possible inhibitors of KIFC1. Nonetheless, their effectiveness and safety must be confirmed through [in vivo] and [in vitro] study prior to consideration for clinical application.","Tiwari, Prashant Kumar; Kumar, Mukesh; Mishra, Richa; Zhang, Xiaomeng; Kumar, Sanjay",5,0,Crossref,1887,views_from_filtered_article_listing_2025,natural compounds; principal component analysis; MD simulation; Triple negative breast cancer; KIFC1,Estadistica,keywords,principal component analysis,3,alta,NA,NA,NA,NA,57
6,Frontiers in Bioinformatics,ok,TECHNOLOGY AND CODE article,published,5 - 2025,5,2025,Single Cell Bioinformatics,Celline: a flexible tool for one-step retrieval and integrative analysis of public single-cell RNA sequencing data,2025-12-11,2025,10.3389/fbinf.2025.1684227,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1684227/full,"Single-cell RNA sequencing (scRNA-seq) has generated a rapidly expanding collection of public datasets that provide insight into development, disease, and therapy. However, researchers lack an end-to-end solution for seamlessly retrieving, preprocessing, integrating, and analyzing these data because existing tools address only isolated steps and require manual curation of accessions, metadata, and technical variability, known as batch effects. In this study, we developed Celline, a Python package that executes an entire workflow using a single-line commands per step. Celline automatically gathers raw single-cell RNA-seq data from multiple public repositories and extracts metadata using large language models. It then wraps established tools, including Scrublet for doublet removal, Seurat and Scanpy for quality control and cell-type annotation, Harmony and scVI for batch correction, and Slingshot for trajectory inference, into one-line commands, enabling seamless integrative analyses. To validate Celline-acquired data quality and the integrated framework’s practical utility, we applied it to 2 mouse brain cortex datasets from embryonic days 14.5 and 18. Technical validation demonstrated that Celline successfully retrieved data, standardized metadata, and enabled standard analyses that removed low-quality cells, annotated 11 major cell types, improved integration quality (scIB score +0.22), and completed trajectory analysis. Thus, Celline transforms scattered public scRNA-seq resources into unified, analysis-ready datasets with minimal effort. Its modular design allows pipeline extension, encourages community-driven advances, and accelerates the discovery of single-cell data.","Sato, Yuya; Asahi, Toru; Kataoka, Kosuke",3,0,Crossref,3038,views_from_filtered_article_listing_2025,integration; pipeline; python; single-cell RNA-seq; data management; public databases,Otros,NA,NA,NA,sin_evidencia_fuerte,IA Generativa,abstract,large language models,revision_manual,23
7,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Network Bioinformatics,Identification and validation of tumor microenvironment-related therapeutic targets in gastric cancer using integrated multi-omics and molecular docking approaches,2025-12-10,2025,10.3389/fbinf.2025.1654326,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1654326/full,"Introduction: With increased drug resistance and tumor heterogeneity accounting for limited therapeutic strategies, gastric cancer remains one of the major causes of cancer-related mortality around the globe. Targeting the components of the tumor microenvironment (TME) has become a promising therapeutic strategy due to their crucial roles in cancer cell proliferation, progression, and metastasis. One of the limitations of the previously identified therapeutic targets is their limited applicability to a broader patient population. Methods: This study aims to identify (TME)-related therapeutic targets using an integrated bioinformatics and molecular docking approach that involves a larger number of datasets to cover a broader cohort of gastric cancer patients. It analyzed multiple publicly available transcriptomic datasets using Robust Rank Aggregation (RRA) meta-analysis and Weighted Gene Co-expression Network Analysis (WGCNA) to identify significant hub genes. Furthermore, protein-protein interaction (PPI) network analyses, conducted using multiple methods such as Cytohubba topology analysis and ClusterONE module analysis, refined the potential therapeutic candidates. Functional enrichment analyses were performed to identify vital genes involved in TME interactions and ECM remodeling. Results: The enriched genes were validated for their significant dysregulation in the Cancer Genome Atlas gastric adenocarcinoma dataset (TCGA-STAD) and three independent GEO datasets to ensure differential expression across distinct cohorts. Genes with consistent dysregulation were used in survival analyses across TCGA and two GEO datasets to prioritize hub genes with prognostic significance. Finally, a targeted literature survey ensured the exclusion of previously targeted genes, and molecular docking analyses conducted using phytocompounds identified potential therapeutic leads with strong affinities for the identified targets. Discussion: This integrated approach revealed notable, promising targets in the TME and natural compounds for developing potential personalized therapeutic strategies in gastric cancer.","Oli M., Mohamed Kalith; Syed Masood, Jafar Ali Ibrahim",2,0,Crossref,2117,views_from_filtered_article_listing_2025,extracellular matrix; gastric cancer; molecular docking; therapeutic targets; personalized medicine; differentially expressed genes,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,101
8,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Integrative Bioinformatics,Neurogenic locus notch homolog protein 1 (NOTCH 1) SNP informatics coupled with intrinsically disordered regions and post-translational modifications reveals the complex structural crosstalk of Lung Adenocarcinoma (LUAD),2025-12-10,2025,10.3389/fbinf.2025.1641521,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1641521/full,"Background: Lung adenocarcinoma (LUAD) is the predominant histological subtype of lung cancer, representing a major contributor to cancer mortality rate marked by a high frequency of mutations and intricate interactions between multiple signalling pathways. Objective: Here we explore the role of NOTCH1 associated Single nucleotide polymorphisms (SNPs) IDR and PTM in LUAD progression. Although the NOTCH1 expression is downregulated, it has been validated as an important prognostic marker because of its complex biological roles under specific conditions. Methods: With the aid of In silico tools we predicted and identified the deleterious SNPs. The Molecular Docking and dynamics simulations (MDS) were conducted to characterize these mutations. Results: A total of 43 deleterious SNPs were found in the sequential SNP analysis with 13 SNPs resulted deleterious and damaging effects. The stabilizing SNPs such as S1464I, A1705V and T1602I are found within the conserved and functional domains of NOTCH1. In addition, 1660–2555 sequence region of the PEST domain was recognized as an Intrinsically Disordered Region (IDR) with a score of above 0.5. Moreover, the presence of the two phosphodegrons (SCF_FBW7_1 at 2129–2136 and SCF_FBW7_2 at 2508–2515) along with the Post Translational Modification (PTM) such as o-linked glycosylation and Phosphothreonine within the IDR region, PEST and conserved domains suggest functional significance in LUAD progression. Conclusion: In conclusion our research highlights the potential regulatory role of identified SNPs, PTMs, and the functional domains of Notch1, particularly the PEST domain and IDR, in pathophysiology of LUAD particularly through the crosstalk of the EMT signalling.","John, Pearl; Sudandiradoss, C.",2,0,Crossref,1275,views_from_filtered_article_listing_2025,post-translational modification; lung adenocarcinoma; molecular dynamics simulation; intrinsically disordered region; neurogenic locus notch homolog protein 1; deleterious SNP; epithelial–mesenchymal transition signaling,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,51
9,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Protein Bioinformatics,Uncovering human kinase substrates in nipah proteome,2025-12-05,2025,10.3389/fbinf.2025.1678189,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1678189/full,"Nipah virus (NiV) is a zoonotic pathogen that causes recurrent outbreaks with considerable implications for public health. Viruses engage host kinases to phosphorylate viral proteins, aiding replication and host disruption. Identifying NiV phosphoproteins and their host kinases is therefore critical for understanding the mechanism of infection and developing therapeutics. We performed kinase-substrate phosphomotif analysis based on prior studies and employed computational tools to identify putative phosphosites in NiV proteins and corresponding host kinases. Redundancy analysis highlighted key kinases capable of phosphorylating multiple NiV proteins and high-potential viral substrates. Integration with human–viral protein–protein interaction data revealed human kinase substrate proteins in human that interact with NiV proteins, while conservation analysis assessed phosphosites across nine NiV proteins in various strains. The functional significance of the identified and predicted viral substrates and their corresponding host kinases was further validated through [in silico] docking and molecular dynamics simulation (MD). Motif-based kinase-substrate analysis identified 51 human kinases predicted to target 1180 phosphorylation sites across nine NiV proteins, including key human kinases such as Eukaryotic elongation factor 2 kinase [EEF2K], Haploid germ cell-specific nuclear protein kinase [HASPIN], Mitogen-activated protein kinase 9 [MAPK9], Microtubule-associated serine/threonine-protein kinase 2 [MAST2], and Spleen tyrosine kinase [SYK], with the potential to phosphorylate multiple sites across NiV proteins. Using computational prediction tools, we identified several potential phosphorylation sites on NiV proteins, along with their corresponding candidate human kinases. [In silico] docking revealed interactions between EEF2K and both the NiV Fusion Glycoprotein and NiV Phosphoprotein (P), MAPK9 with the NiV Matrix Protein, and HASPIN with NiV RNA-dependent RNA polymerase. MD simulations of the EEF2K–NiV Fusion Glycoprotein complex confirmed the stability of this interaction. Leucine-rich repeat serine/threonine-protein kinase 2 [LRRK2], HASPIN, MAST2, and EEF2K were the human kinases predicted to phosphorylate experimentally validated sites on NiV nucleocapsid (N), P, and W proteins. Furthermore, through an extensive literature review, we investigated the therapeutic potential of targeting these kinases using known inhibitors and identified compounds that could potentially be repurposed as antiviral agents against NiV infection. Our findings indicate that EEF2K phosphorylates key NiV proteins at conserved phosphosites across variants, underscoring the pathogenic significance of kinases in NiV infection and their potential as therapeutic targets.","Shaji, Vineetha; Anil, Akash; Jabbar, Ayisha A.; Mahin, Althaf; Rafi, Ahmad; Revikumar, Amjesh; Soman, Sowmya; Prasad, Ganesh; Pinto, Sneha M.; Subbannayya, Yashwanth; Jayanandan, Abhithaj; Raju, Rajesh",12,1,Crossref,3003,views_from_filtered_article_listing_2025,phosphorylation; molecular dynamics simulation; Nipah virus; computational prediction tools; host–virus interactions; kinase-substrate phosphomotif search; protein–protein docking,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,75
10,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Integrative Bioinformatics,Predicting GD2 expression across cancer types by the integration of pathway topology and transcriptome data,2025-12-04,2025,10.3389/fbinf.2025.1705930,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1705930/full,"Background: The disialoganglioside GD2 is a key cancer therapy target due to its overexpression in several cancers and limited presence in normal tissues. However, experimental assessment is technically challenging and not routinely available. We developed a computational framework that integrates reaction activity derived from transcriptomic data with the glycosphingolipid biosynthesis pathway to predict GD2 expression. Methods: We computed Reaction Activity Scores from transcriptomic data and weighted the reactions of a glycosphingolipid metabolic network, refining edge weights with topology-based transition probabilities to account for enzyme promiscuity. Cumulative activities of GD2-promoting and -mitigating reactions served as features in a Support Vector Machine (SVM) to model GD2-associated differences between neuroblastoma and normal tissue. SVM decision values were used as a continuous proxy for GD2 expression. We validated the predicted GD2 scores across independent datasets by comparing them with literature-reported values and flow-cytometric confirmation of a model-predicted high-GD2 tumor. Copy-number alteration (CNA) data were integrated to identify candidate genomic biomarkers of GD2-positive samples. Results: Our SVM-based GD2 score achieved balanced accuracy of 0.80 with a linear kernel, selected due to reduced overfitting risk and interpretability, while matching the accuracy of more complex kernels. The model transferred reliably across six independent RNA-seq datasets and reproduced known GD2 expression patterns, outperforming a two-gene signature in capturing subtype-specific heterogeneity and avoiding overestimation in normal brain tissue. Pan-cancer analyses revealed heterogeneous GD2 expression in several cancer subtypes. Notably, we experimentally confirmed high GD2 expression in clear cell sarcoma of the kidney, consistent with model predictions. CNA analysis implicated B4GALNT1 amplification as a GD2-promoting factor in dedifferentiated liposarcoma. To facilitate adoption of our approach, we developed GD2Viz, an R package with an interactive Shiny application for score computation, visualization, and analysis of user data. Conclusion: Our computational framework provides a robust, interpretable, biologically grounded predictor of GD2 expression, offering greater consistency and clinical interpretability over existing gene-based signatures. Importantly, with over 20 GD2-directed trials ongoing, our approach may help prioritize tumor entities with high GD2 levels, delineate candidate patient subgroups, and generate testable hypotheses in underexplored cancers, thereby supporting patient stratification and eligibility screening for clinical trials.","Ustjanzew, Arsenij; Marini, Federico; Wagner, Saskia; Wingerter, Arthur; Sandhoff, Roger; Faber, Jörg; Paret, Claudia",7,0,Crossref,2045,views_from_filtered_article_listing_2025,biomarker; transcriptome analysis; support vector machine; GD2 prediction; ganglioside; cancer subtypes; metabolic network; reaction activity score,Machine Learning,keywords,support vector machine,3,alta,NA,NA,NA,NA,65
