indicador,valor
articulos_detectados_listado,162
articulos_finales_2025,162
fecha_minima,2025-01-06
fecha_maxima,2025-12-19
articulos_con_downloads,162
downloads_distintos,158
downloads_minimo,941
downloads_promedio,3438.33
downloads_maximo,24558
articulos_con_citas,162
articulos_con_referencias,162
referencias_detectadas,8007
referencias_unicas,7545
volumen_4,8
volumen_5,154
categoria_Estadistica,7
categoria_IA Generativa,3
categoria_Machine Learning,48
categoria_Otros,104
articulos_tematicos_alta_confianza,58
articulos_revision_manual,13
